sku,nombre,categoria_id,perecedero,vida_util_dias,precio_referencia,margen_objetivo,descripcion,tags
SKU_001,Luces y Decoracion Luminica SKU_001,CAT_LUCES,False,,26.14,0.259,Producto navideno sintetico SKU_001 de Luces y Decoracion Luminica,navidad;retail;temporada
SKU_002,Luces y Decoracion Luminica SKU_002,CAT_LUCES,False,,17.94,0.328,Producto navideno sintetico SKU_002 de Luces y Decoracion Luminica,navidad;retail;temporada
SKU_003,Luces y Decoracion Luminica SKU_003,CAT_LUCES,False,,29.61,0.487,Producto navideno sintetico SKU_003 de Luces y Decoracion Luminica,navidad;retail;temporada
SKU_004,Luces y Decoracion Luminica SKU_004,CAT_LUCES,False,,31.23,0.28,Producto navideno sintetico SKU_004 de Luces y Decoracion Luminica,navidad;retail;temporada
SKU_005,Luces y Decoracion Luminica SKU_005,CAT_LUCES,False,,13.9,0.26,Producto navideno sintetico SKU_005 de Luces y Decoracion Luminica,navidad;retail;temporada
SKU_006,Luces y Decoracion Luminica SKU_006,CAT_LUCES,False,,16.67,0.427,Producto navideno sintetico SKU_006 de Luces y Decoracion Luminica,navidad;retail;temporada
SKU_007,Arboles y Guirnaldas SKU_007,CAT_ARBOL,True,42.0,39.38,0.501,Producto navideno sintetico SKU_007 de Arboles y Guirnaldas,navidad;retail;temporada
SKU_008,Arboles y Guirnaldas SKU_008,CAT_ARBOL,False,,34.78,0.397,Producto navideno sintetico SKU_008 de Arboles y Guirnaldas,navidad;retail;temporada
SKU_009,Arboles y Guirnaldas SKU_009,CAT_ARBOL,False,,37.82,0.347,Producto navideno sintetico SKU_009 de Arboles y Guirnaldas,navidad;retail;temporada
SKU_010,Arboles y Guirnaldas SKU_010,CAT_ARBOL,False,,29.93,0.516,Producto navideno sintetico SKU_010 de Arboles y Guirnaldas,navidad;retail;temporada
SKU_011,Arboles y Guirnaldas SKU_011,CAT_ARBOL,False,,48.61,0.398,Producto navideno sintetico SKU_011 de Arboles y Guirnaldas,navidad;retail;temporada
SKU_012,Arboles y Guirnaldas SKU_012,CAT_ARBOL,False,,47.25,0.325,Producto navideno sintetico SKU_012 de Arboles y Guirnaldas,navidad;retail;temporada
SKU_013,Ornamentos SKU_013,CAT_ORNAMENT,False,,14.26,0.286,Producto navideno sintetico SKU_013 de Ornamentos,navidad;retail;temporada
SKU_014,Ornamentos SKU_014,CAT_ORNAMENT,False,,19.2,0.376,Producto navideno sintetico SKU_014 de Ornamentos,navidad;retail;temporada
SKU_015,Ornamentos SKU_015,CAT_ORNAMENT,False,,15.96,0.343,Producto navideno sintetico SKU_015 de Ornamentos,navidad;retail;temporada
SKU_016,Ornamentos SKU_016,CAT_ORNAMENT,True,59.0,11.01,0.438,Producto navideno sintetico SKU_016 de Ornamentos,navidad;retail;temporada
SKU_017,Ornamentos SKU_017,CAT_ORNAMENT,False,,15.52,0.382,Producto navideno sintetico SKU_017 de Ornamentos,navidad;retail;temporada
SKU_018,Ornamentos SKU_018,CAT_ORNAMENT,False,,10.7,0.54,Producto navideno sintetico SKU_018 de Ornamentos,navidad;retail;temporada
SKU_019,Mesa y Vajilla Festiva SKU_019,CAT_MESA,False,,23.02,0.552,Producto navideno sintetico SKU_019 de Mesa y Vajilla Festiva,navidad;retail;temporada
SKU_020,Mesa y Vajilla Festiva SKU_020,CAT_MESA,False,,17.75,0.497,Producto navideno sintetico SKU_020 de Mesa y Vajilla Festiva,navidad;retail;temporada
SKU_021,Mesa y Vajilla Festiva SKU_021,CAT_MESA,True,44.0,17.09,0.521,Producto navideno sintetico SKU_021 de Mesa y Vajilla Festiva,navidad;retail;temporada
SKU_022,Mesa y Vajilla Festiva SKU_022,CAT_MESA,False,,14.88,0.549,Producto navideno sintetico SKU_022 de Mesa y Vajilla Festiva,navidad;retail;temporada
SKU_023,Mesa y Vajilla Festiva SKU_023,CAT_MESA,False,,25.35,0.383,Producto navideno sintetico SKU_023 de Mesa y Vajilla Festiva,navidad;retail;temporada
