sku,inventario_actual
SKU_001,165
SKU_002,531
SKU_003,77
SKU_004,566
SKU_005,201
SKU_006,564
SKU_007,335
SKU_008,77
SKU_009,88
SKU_010,664
SKU_011,38
SKU_012,104
SKU_013,155
SKU_014,246
SKU_015,250
SKU_016,217
SKU_017,721
SKU_018,273
SKU_019,305
SKU_020,340
SKU_021,215
SKU_022,152
SKU_023,377
SKU_024,36
SKU_025,293
SKU_026,92
SKU_027,318
SKU_028,73
SKU_029,165
SKU_030,352
SKU_031,111
SKU_032,115
SKU_033,98
SKU_034,514
SKU_035,152
SKU_036,367
SKU_037,93
SKU_038,106
SKU_039,477
SKU_040,159
SKU_041,13
SKU_042,614
SKU_043,112
SKU_044,190
SKU_045,103
SKU_046,331
SKU_047,564
SKU_048,3
SKU_049,473
SKU_050,301
