sku,precio_venta_actual,fecha_ultima_compra,fecha_ultima_venta,fecha_ultima_actualizacion,fecha_alta
SKU_001,26.14,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_002,17.94,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_003,29.61,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_004,31.23,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_005,13.9,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_006,16.67,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_007,39.38,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_008,34.78,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_009,37.82,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_010,29.93,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_011,48.61,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_012,47.25,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_013,14.26,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_014,19.2,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_015,15.96,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_016,11.01,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_017,15.52,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_018,10.7,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_019,23.02,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_020,17.75,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_021,17.09,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_022,14.88,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_023,25.35,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_024,17.24,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_025,6.21,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_026,6.34,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_027,8.13,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_028,7.75,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_029,7.86,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_030,7.9,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_031,38.25,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_032,18.74,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_033,18.19,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_034,16.72,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_035,24.95,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_036,28.81,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_037,40.68,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_038,33.2,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_039,33.34,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_040,50.39,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_041,51.72,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_042,48.9,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_043,34.86,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_044,61.9,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_045,59.93,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_046,61.66,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_047,74.03,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_048,61.75,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_049,70.14,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
SKU_050,59.11,2025-06-01 10:00:00,2025-11-15 12:00:00,2026-01-10 08:00:00,2024-01-01 00:00:00
