sku,codigo_barras,nombre,nombre_corto,unidad,pais_origen,precio_costo,perecedero,cantidad_stock,categoria_id
SKU_001,SKU_001,Luces y Decoracion Luminica SKU_001,Luces y Decoracion Luminica SKU_001,UN,Paraguay,16.99,false,165,CAT_LUCES
SKU_002,SKU_002,Luces y Decoracion Luminica SKU_002,Luces y Decoracion Luminica SKU_002,UN,Paraguay,11.66,false,531,CAT_LUCES
SKU_003,SKU_003,Luces y Decoracion Luminica SKU_003,Luces y Decoracion Luminica SKU_003,UN,Paraguay,19.25,false,77,CAT_LUCES
SKU_004,SKU_004,Luces y Decoracion Luminica SKU_004,Luces y Decoracion Luminica SKU_004,UN,Paraguay,20.3,false,566,CAT_LUCES
SKU_005,SKU_005,Luces y Decoracion Luminica SKU_005,Luces y Decoracion Luminica SKU_005,UN,Paraguay,9.04,false,201,CAT_LUCES
SKU_006,SKU_006,Luces y Decoracion Luminica SKU_006,Luces y Decoracion Luminica SKU_006,UN,Paraguay,10.84,false,564,CAT_LUCES
SKU_007,SKU_007,Arboles y Guirnaldas SKU_007,Arboles y Guirnaldas SKU_007,UN,Paraguay,25.6,true,335,CAT_ARBOL
SKU_008,SKU_008,Arboles y Guirnaldas SKU_008,Arboles y Guirnaldas SKU_008,UN,Paraguay,22.61,false,77,CAT_ARBOL
SKU_009,SKU_009,Arboles y Guirnaldas SKU_009,Arboles y Guirnaldas SKU_009,UN,Paraguay,24.58,false,88,CAT_ARBOL
SKU_010,SKU_010,Arboles y Guirnaldas SKU_010,Arboles y Guirnaldas SKU_010,UN,Paraguay,19.45,false,664,CAT_ARBOL
SKU_011,SKU_011,Arboles y Guirnaldas SKU_011,Arboles y Guirnaldas SKU_011,UN,Paraguay,31.6,false,38,CAT_ARBOL
SKU_012,SKU_012,Arboles y Guirnaldas SKU_012,Arboles y Guirnaldas SKU_012,UN,Paraguay,30.71,false,104,CAT_ARBOL
SKU_013,SKU_013,Ornamentos SKU_013,Ornamentos SKU_013,UN,Paraguay,9.27,false,155,CAT_ORNAMENT
SKU_014,SKU_014,Ornamentos SKU_014,Ornamentos SKU_014,UN,Paraguay,12.48,false,246,CAT_ORNAMENT
SKU_015,SKU_015,Ornamentos SKU_015,Ornamentos SKU_015,UN,Paraguay,10.37,false,250,CAT_ORNAMENT
SKU_016,SKU_016,Ornamentos SKU_016,Ornamentos SKU_016,UN,Paraguay,7.16,true,217,CAT_ORNAMENT
SKU_017,SKU_017,Ornamentos SKU_017,Ornamentos SKU_017,UN,Paraguay,10.09,false,721,CAT_ORNAMENT
SKU_018,SKU_018,Ornamentos SKU_018,Ornamentos SKU_018,UN,Paraguay,6.96,false,273,CAT_ORNAMENT
SKU_019,SKU_019,Mesa y Vajilla Festiva SKU_019,Mesa y Vajilla Festiva SKU_019,UN,Paraguay,14.96,false,305,CAT_MESA
SKU_020,SKU_020,Mesa y Vajilla Festiva SKU_020,Mesa y Vajilla Festiva SKU_020,UN,Paraguay,11.54,false,340,CAT_MESA
