sku,proveedor_id,ultima_fecha_compra,ultimo_precio_pyg,ultima_cantidad,total_cantidad_historica,total_lineas_compra
SKU_001,PROV_EUR_01,2025-10-01 09:00:00,188850.0,127,1524,4
SKU_001,PROV_ASIA_01,2025-10-01 09:00:00,101700.0,500,18300,4
SKU_001,PROV_NAC_02,2025-10-01 09:00:00,167100.0,52,624,4
SKU_002,PROV_REG_01,2025-10-01 09:00:00,94950.0,81,972,4
SKU_002,PROV_NAC_02,2025-10-01 09:00:00,103950.0,99,1188,4
SKU_002,PROV_ASIA_02,2025-10-01 09:00:00,54225.0,500,35424,4
SKU_003,PROV_REG_01,2025-10-01 09:00:00,119625.0,118,1416,4
SKU_003,PROV_ASIA_02,2025-10-01 09:00:00,68325.0,500,17880,4
SKU_003,PROV_ASIA_01,2025-10-01 09:00:00,79725.0,500,7416,4
SKU_004,PROV_REG_01,2025-10-01 09:00:00,177075.0,61,732,4
SKU_005,PROV_ASIA_01,2025-10-01 09:00:00,54000.0,500,19500,4
SKU_005,PROV_NAC_01,2025-10-01 09:00:00,92550.0,20,240,4
SKU_005,PROV_EUR_01,2025-10-01 09:00:00,100275.0,127,1524,4
SKU_006,PROV_REG_01,2025-10-01 09:00:00,75225.0,119,1428,4
SKU_006,PROV_ASIA_01,2025-10-01 09:00:00,50175.0,500,15804,4
SKU_006,PROV_NAC_02,2025-10-01 09:00:00,82350.0,115,1380,4
SKU_007,PROV_NAC_02,2025-10-01 09:00:00,169500.0,100,1200,4
SKU_007,PROV_REG_01,2025-10-01 09:00:00,154725.0,98,1176,4
SKU_007,PROV_NAC_01,2025-10-01 09:00:00,176850.0,47,564,4
SKU_008,PROV_NAC_01,2025-10-01 09:00:00,188775.0,13,156,4
SKU_009,PROV_NAC_01,2025-10-01 09:00:00,222300.0,31,372,4
SKU_010,PROV_ASIA_01,2025-10-01 09:00:00,76050.0,500,17928,4
SKU_011,PROV_ASIA_01,2025-10-01 09:00:00,153600.0,500,20028,4
SKU_012,PROV_NAC_02,2025-10-01 09:00:00,275100.0,84,1008,4
SKU_012,PROV_EUR_01,2025-10-01 09:00:00,310950.0,165,1980,4
SKU_012,PROV_NAC_01,2025-10-01 09:00:00,287025.0,39,468,4
SKU_013,PROV_NAC_01,2025-10-01 09:00:00,91650.0,16,192,4
SKU_013,PROV_ASIA_02,2025-10-01 09:00:00,45825.0,500,18108,4
SKU_013,PROV_EUR_01,2025-10-01 09:00:00,99300.0,109,1308,4
SKU_014,PROV_ASIA_01,2025-10-01 09:00:00,62925.0,500,10500,4
SKU_015,PROV_NAC_02,2025-10-01 09:00:00,90450.0,100,1200,4
SKU_015,PROV_REG_01,2025-10-01 09:00:00,82575.0,65,780,4
SKU_016,PROV_ASIA_02,2025-10-01 09:00:00,27825.0,500,12360,4
SKU_017,PROV_REG_01,2025-10-01 09:00:00,75525.0,82,984,4
SKU_018,PROV_NAC_02,2025-10-01 09:00:00,42450.0,78,936,4
SKU_018,PROV_NAC_01,2025-10-01 09:00:00,44325.0,10,120,4
SKU_019,PROV_NAC_02,2025-10-01 09:00:00,88950.0,101,1212,4
SKU_019,PROV_EUR_01,2025-10-01 09:00:00,100575.0,184,2208,4
SKU_020,PROV_NAC_01,2025-10-01 09:00:00,80325.0,13,156,4
SKU_021,PROV_EUR_01,2025-10-01 09:00:00,79800.0,195,2340,4
SKU_021,PROV_NAC_01,2025-10-01 09:00:00,73650.0,20,240,4
SKU_021,PROV_NAC_02,2025-10-01 09:00:00,70575.0,37,444,4
SKU_022,PROV_NAC_01,2025-10-01 09:00:00,60375.0,46,552,4
SKU_022,PROV_ASIA_01,2025-10-01 09:00:00,35250.0,500,12048,4
SKU_022,PROV_ASIA_02,2025-10-01 09:00:00,30225.0,500,26220,4
SKU_023,PROV_NAC_01,2025-10-01 09:00:00,140775.0,30,360,4
SKU_023,PROV_ASIA_02,2025-10-01 09:00:00,70350.0,500,17856,4
SKU_023,PROV_ASIA_01,2025-10-01 09:00:00,82125.0,500,12516,4
SKU_024,PROV_NAC_01,2025-10-01 09:00:00,71100.0,14,168,4
SKU_024,PROV_ASIA_02,2025-10-01 09:00:00,35550.0,500,12228,4
SKU_025,PROV_ASIA_02,2025-10-01 09:00:00,17475.0,500,24432,4
SKU_025,PROV_NAC_01,2025-10-01 09:00:00,34950.0,26,312,4
SKU_026,PROV_REG_01,2025-10-01 09:00:00,25200.0,102,1224,4
SKU_027,PROV_NAC_02,2025-10-01 09:00:00,50850.0,113,1356,4
SKU_027,PROV_ASIA_01,2025-10-01 09:00:00,30975.0,500,18996,4
SKU_028,PROV_ASIA_02,2025-10-01 09:00:00,19650.0,500,34896,4
SKU_029,PROV_NAC_01,2025-10-01 09:00:00,41625.0,28,336,4
SKU_029,PROV_REG_01,2025-10-01 09:00:00,36375.0,93,1116,4
SKU_029,PROV_NAC_02,2025-10-01 09:00:00,39825.0,73,876,4
SKU_030,PROV_ASIA_02,2025-10-01 09:00:00,15150.0,500,24420,4
SKU_031,PROV_NAC_02,2025-10-01 09:00:00,222000.0,65,780,4
SKU_031,PROV_REG_01,2025-10-01 09:00:00,202725.0,51,612,4
SKU_032,PROV_NAC_02,2025-10-01 09:00:00,77775.0,63,756,4
SKU_033,PROV_EUR_01,2025-10-01 09:00:00,131100.0,169,2028,4
SKU_034,PROV_NAC_01,2025-10-01 09:00:00,98700.0,47,564,4
SKU_034,PROV_REG_01,2025-10-01 09:00:00,86400.0,77,924,4
SKU_034,PROV_ASIA_01,2025-10-01 09:00:00,57600.0,500,16560,4
SKU_035,PROV_NAC_01,2025-10-01 09:00:00,94275.0,12,144,4
SKU_036,PROV_NAC_01,2025-10-01 09:00:00,165975.0,36,432,4
SKU_036,PROV_EUR_01,2025-10-01 09:00:00,179775.0,218,2616,4
SKU_037,PROV_NAC_02,2025-10-01 09:00:00,214725.0,33,396,4
SKU_037,PROV_REG_01,2025-10-01 09:00:00,196050.0,85,1020,4
SKU_037,PROV_EUR_01,2025-10-01 09:00:00,242775.0,145,1740,4
SKU_038,PROV_EUR_01,2025-10-01 09:00:00,190650.0,87,1044,4
SKU_038,PROV_REG_01,2025-10-01 09:00:00,153975.0,137,1644,4
SKU_039,PROV_REG_01,2025-10-01 09:00:00,174300.0,157,1884,4
SKU_040,PROV_ASIA_01,2025-10-01 09:00:00,174075.0,500,10740,4
SKU_040,PROV_EUR_01,2025-10-01 09:00:00,323250.0,162,1944,4
SKU_041,PROV_ASIA_01,2025-10-01 09:00:00,118350.0,500,18516,4
SKU_041,PROV_NAC_01,2025-10-01 09:00:00,202950.0,35,420,4
SKU_042,PROV_REG_01,2025-10-01 09:00:00,259200.0,107,1284,4
SKU_042,PROV_EUR_01,2025-10-01 09:00:00,320850.0,69,828,4
SKU_042,PROV_NAC_01,2025-10-01 09:00:00,296175.0,16,192,4
SKU_043,PROV_ASIA_02,2025-10-01 09:00:00,89700.0,500,26160,4
SKU_043,PROV_EUR_01,2025-10-01 09:00:00,194400.0,108,1296,4
SKU_043,PROV_ASIA_01,2025-10-01 09:00:00,104700.0,500,12252,4
SKU_044,PROV_EUR_01,2025-10-01 09:00:00,270975.0,197,2364,4
SKU_045,PROV_EUR_01,2025-10-01 09:00:00,405525.0,144,1728,4
SKU_045,PROV_ASIA_01,2025-10-01 09:00:00,218325.0,500,21312,4
SKU_045,PROV_NAC_01,2025-10-01 09:00:00,374325.0,30,360,4
SKU_046,PROV_REG_01,2025-10-01 09:00:00,262725.0,115,1380,4
SKU_046,PROV_EUR_01,2025-10-01 09:00:00,325275.0,201,2412,4
SKU_046,PROV_ASIA_01,2025-10-01 09:00:00,175125.0,500,9120,4
SKU_047,PROV_ASIA_02,2025-10-01 09:00:00,180225.0,500,28644,4
SKU_048,PROV_REG_01,2025-10-01 09:00:00,321900.0,150,1800,4
SKU_048,PROV_EUR_01,2025-10-01 09:00:00,398550.0,208,2496,4
SKU_048,PROV_ASIA_01,2025-10-01 09:00:00,214575.0,500,20904,4
SKU_049,PROV_ASIA_01,2025-10-01 09:00:00,154650.0,500,10164,4
SKU_049,PROV_ASIA_02,2025-10-01 09:00:00,132600.0,500,28188,4
SKU_049,PROV_EUR_01,2025-10-01 09:00:00,287250.0,81,972,4
SKU_050,PROV_ASIA_02,2025-10-01 09:00:00,188850.0,500,30456,4
SKU_050,PROV_EUR_01,2025-10-01 09:00:00,409200.0,120,1440,4
