proveedor_id,sku,precio_unitario,moq,descuentos_volumen,moneda,activo
PROV_EUR_01,SKU_001,25.18,127,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_001,13.56,1525,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_02,SKU_001,22.28,52,300:0.015|700:0.035,ARS,True
PROV_REG_01,SKU_002,12.66,81,300:0.015|700:0.035,USD,True
PROV_NAC_02,SKU_002,13.86,99,300:0.015|700:0.035,ARS,True
PROV_ASIA_02,SKU_002,7.23,2952,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_REG_01,SKU_003,15.95,118,300:0.015|700:0.035,USD,True
PROV_ASIA_02,SKU_003,9.11,1490,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_01,SKU_003,10.63,618,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_REG_01,SKU_004,23.61,61,300:0.015|700:0.035,USD,True
PROV_ASIA_01,SKU_005,7.2,1625,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_005,12.34,20,200:0.02|500:0.04,ARS,True
PROV_EUR_01,SKU_005,13.37,127,300:0.015|700:0.035,EUR,True
PROV_REG_01,SKU_006,10.03,119,300:0.015|700:0.035,USD,True
PROV_ASIA_01,SKU_006,6.69,1317,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_02,SKU_006,10.98,115,300:0.015|700:0.035,ARS,True
PROV_NAC_02,SKU_007,22.6,100,300:0.015|700:0.035,ARS,True
PROV_REG_01,SKU_007,20.63,98,300:0.015|700:0.035,USD,True
PROV_NAC_01,SKU_007,23.58,47,200:0.02|500:0.04,ARS,True
PROV_NAC_01,SKU_008,25.17,13,200:0.02|500:0.04,ARS,True
PROV_NAC_01,SKU_009,29.64,31,200:0.02|500:0.04,ARS,True
PROV_ASIA_01,SKU_010,10.14,1494,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_01,SKU_011,20.48,1669,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_02,SKU_012,36.68,84,300:0.015|700:0.035,ARS,True
PROV_EUR_01,SKU_012,41.46,165,300:0.015|700:0.035,EUR,True
PROV_NAC_01,SKU_012,38.27,39,200:0.02|500:0.04,ARS,True
PROV_NAC_01,SKU_013,12.22,16,200:0.02|500:0.04,ARS,True
PROV_ASIA_02,SKU_013,6.11,1509,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_EUR_01,SKU_013,13.24,109,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_014,8.39,875,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_02,SKU_015,12.06,100,300:0.015|700:0.035,ARS,True
PROV_REG_01,SKU_015,11.01,65,300:0.015|700:0.035,USD,True
PROV_ASIA_02,SKU_016,3.71,1030,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_REG_01,SKU_017,10.07,82,300:0.015|700:0.035,USD,True
PROV_NAC_02,SKU_018,5.66,78,300:0.015|700:0.035,ARS,True
PROV_NAC_01,SKU_018,5.91,10,200:0.02|500:0.04,ARS,True
PROV_NAC_02,SKU_019,11.86,101,300:0.015|700:0.035,ARS,True
PROV_EUR_01,SKU_019,13.41,184,300:0.015|700:0.035,EUR,True
PROV_NAC_01,SKU_020,10.71,13,200:0.02|500:0.04,ARS,True
PROV_EUR_01,SKU_021,10.64,195,300:0.015|700:0.035,EUR,True
PROV_NAC_01,SKU_021,9.82,20,200:0.02|500:0.04,ARS,True
PROV_NAC_02,SKU_021,9.41,37,300:0.015|700:0.035,ARS,True
PROV_NAC_01,SKU_022,8.05,46,200:0.02|500:0.04,ARS,True
PROV_ASIA_01,SKU_022,4.7,1004,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_02,SKU_022,4.03,2185,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_023,18.77,30,200:0.02|500:0.04,ARS,True
PROV_ASIA_02,SKU_023,9.38,1488,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_01,SKU_023,10.95,1043,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_024,9.48,14,200:0.02|500:0.04,ARS,True
PROV_ASIA_02,SKU_024,4.74,1019,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_02,SKU_025,2.33,2036,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_025,4.66,26,200:0.02|500:0.04,ARS,True
PROV_REG_01,SKU_026,3.36,102,300:0.015|700:0.035,USD,True
PROV_NAC_02,SKU_027,6.78,113,300:0.015|700:0.035,ARS,True
PROV_ASIA_01,SKU_027,4.13,1583,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_02,SKU_028,2.62,2908,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_029,5.55,28,200:0.02|500:0.04,ARS,True
PROV_REG_01,SKU_029,4.85,93,300:0.015|700:0.035,USD,True
PROV_NAC_02,SKU_029,5.31,73,300:0.015|700:0.035,ARS,True
PROV_ASIA_02,SKU_030,2.02,2035,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_02,SKU_031,29.6,65,300:0.015|700:0.035,ARS,True
PROV_REG_01,SKU_031,27.03,51,300:0.015|700:0.035,USD,True
PROV_NAC_02,SKU_032,10.37,63,300:0.015|700:0.035,ARS,True
PROV_EUR_01,SKU_033,17.48,169,300:0.015|700:0.035,EUR,True
PROV_NAC_01,SKU_034,13.16,47,200:0.02|500:0.04,ARS,True
PROV_REG_01,SKU_034,11.52,77,300:0.015|700:0.035,USD,True
PROV_ASIA_01,SKU_034,7.68,1380,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_035,12.57,12,200:0.02|500:0.04,ARS,True
PROV_NAC_01,SKU_036,22.13,36,200:0.02|500:0.04,ARS,True
PROV_EUR_01,SKU_036,23.97,218,300:0.015|700:0.035,EUR,True
PROV_NAC_02,SKU_037,28.63,33,300:0.015|700:0.035,ARS,True
PROV_REG_01,SKU_037,26.14,85,300:0.015|700:0.035,USD,True
PROV_EUR_01,SKU_037,32.37,145,300:0.015|700:0.035,EUR,True
PROV_EUR_01,SKU_038,25.42,87,300:0.015|700:0.035,EUR,True
PROV_REG_01,SKU_038,20.53,137,300:0.015|700:0.035,USD,True
PROV_REG_01,SKU_039,23.24,157,300:0.015|700:0.035,USD,True
PROV_ASIA_01,SKU_040,23.21,895,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_EUR_01,SKU_040,43.1,162,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_041,15.78,1543,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_041,27.06,35,200:0.02|500:0.04,ARS,True
PROV_REG_01,SKU_042,34.56,107,300:0.015|700:0.035,USD,True
PROV_EUR_01,SKU_042,42.78,69,300:0.015|700:0.035,EUR,True
PROV_NAC_01,SKU_042,39.49,16,200:0.02|500:0.04,ARS,True
PROV_ASIA_02,SKU_043,11.96,2180,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_EUR_01,SKU_043,25.92,108,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_043,13.96,1021,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_EUR_01,SKU_044,36.13,197,300:0.015|700:0.035,EUR,True
PROV_EUR_01,SKU_045,54.07,144,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_045,29.11,1776,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_NAC_01,SKU_045,49.91,30,200:0.02|500:0.04,ARS,True
PROV_REG_01,SKU_046,35.03,115,300:0.015|700:0.035,USD,True
PROV_EUR_01,SKU_046,43.37,201,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_046,23.35,760,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_02,SKU_047,24.03,2387,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_REG_01,SKU_048,42.92,150,300:0.015|700:0.035,USD,True
PROV_EUR_01,SKU_048,53.14,208,300:0.015|700:0.035,EUR,True
PROV_ASIA_01,SKU_048,28.61,1742,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_01,SKU_049,20.62,847,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_ASIA_02,SKU_049,17.68,2349,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_EUR_01,SKU_049,38.3,81,300:0.015|700:0.035,EUR,True
PROV_ASIA_02,SKU_050,25.18,2538,1000:0.03|2000:0.06|3000:0.1,USD,True
PROV_EUR_01,SKU_050,54.56,120,300:0.015|700:0.035,EUR,True
