sku,semana,anio_relativo,ventas_unidades
SKU_001,1,1,289
SKU_001,2,1,319
SKU_001,3,1,237
SKU_001,4,1,139
SKU_001,5,1,299
SKU_001,6,1,297
SKU_001,7,1,318
SKU_001,8,1,407
SKU_001,9,1,288
SKU_001,10,1,375
SKU_001,11,1,240
SKU_001,12,1,298
SKU_001,13,1,310
SKU_001,14,1,316
SKU_001,15,1,306
SKU_001,16,1,291
SKU_001,17,1,230
SKU_001,18,1,209
SKU_001,19,1,412
SKU_001,20,1,180
SKU_001,21,1,134
SKU_001,22,1,121
SKU_001,23,1,109
SKU_001,24,1,115
SKU_001,25,1,90
SKU_001,26,1,99
SKU_001,27,1,52
SKU_001,28,1,43
SKU_001,29,1,32
SKU_001,30,1,18
SKU_001,31,1,12
SKU_001,32,1,10
SKU_001,33,1,11
SKU_001,34,1,11
SKU_001,35,1,9
SKU_001,36,1,12
SKU_001,37,1,11
SKU_001,38,1,19
SKU_001,39,1,31
SKU_001,40,1,44
SKU_001,41,1,61
SKU_001,42,1,70
SKU_001,43,1,82
SKU_001,44,1,105
SKU_001,45,1,93
SKU_001,46,1,113
SKU_001,47,1,132
SKU_001,48,1,157
SKU_001,49,1,216
SKU_001,50,1,192
SKU_001,51,1,227
SKU_001,52,1,307
SKU_001,53,2,258
SKU_001,54,2,318
SKU_001,55,2,257
SKU_001,56,2,299
SKU_001,57,2,272
SKU_001,58,2,306
SKU_001,59,2,367
SKU_001,60,2,243
SKU_001,61,2,347
SKU_001,62,2,334
SKU_001,63,2,288
SKU_001,64,2,241
SKU_001,65,2,301
SKU_001,66,2,263
SKU_001,67,2,281
SKU_001,68,2,257
SKU_001,69,2,297
SKU_001,70,2,213
SKU_001,71,2,171
SKU_001,72,2,188
SKU_001,73,2,168
SKU_001,74,2,173
SKU_001,75,2,139
SKU_001,76,2,111
SKU_001,77,2,106
SKU_001,78,2,58
SKU_001,79,2,50
SKU_001,80,2,35
SKU_001,81,2,27
SKU_001,82,2,15
SKU_001,83,2,12
SKU_001,84,2,11
SKU_001,85,2,9
SKU_001,86,2,9
SKU_001,87,2,12
SKU_001,88,2,13
SKU_001,89,2,15
SKU_001,90,2,27
SKU_001,91,2,30
SKU_001,92,2,35
SKU_001,93,2,37
SKU_001,94,2,73
SKU_001,95,2,76
SKU_001,96,2,98
SKU_001,97,2,112
SKU_001,98,2,139
SKU_001,99,2,188
SKU_001,100,2,185
