supplier_id,supplier_name,country,port,sku,description,color,composition,pack_size_units,moq_units,unit_price_usd_fob,lead_time_days,incoterms,payment_terms
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01001,BASE P-ARBOL NAV 30X25X25CM CHOCO,CHOCOLATE,95% MAGNESIO 5% METAL,2,400,16.00,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01002,ARBOL LED 8X12.5X8CM BAT-NO-INC,MULTICOLOR,98% RESINA-2% PLASTICO,36,450,4.24,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01003,BASE P-ARBOL 22X54X54CM NEGRO,NEGRO,55% METAL 35% PLASTICO 10% NAILON,6,200,13.71,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01004,ARBOL LED 45CM TORNASOL BAT-NO-INCL,TORNASOL,PLASTICO PS 40% POLICARBONATO 20% ACEITE 25% RESIN,9,250,15.54,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01005,BASE REDONDA 63.5X22.86CM NATURAL,crema,100%PLASTICO,6,450,13.41,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01006,FIG OSO 22X23X21CM,NATURAL,40% ESPUMA 30% RAFIA 20% FIBRA NATURAL 5% PINA NAT,8,350,8.92,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01007,VILLA LED 11.5X12X7.5CM BAT-NO-INC,MULTICOLOR,98% RESINA-2% PLASTICO,36,400,4.48,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01008,PORTAVELA NAV 5.2X14.1X12.5CM,DORADO-BLANCO,100% PORCELANA,36,200,3.84,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01009,ESTRELLA DECO 100CM DORADO,DORADO,70%POLIESTER 25% MARCO DE HIERRO 5% PLASTICO,30,300,12.77,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01010,FIG HOMBRE JENGIBRE 53CM,ROJO,70% POLIESTER 20% ALGODON 10% HIERRO,6,250,12.83,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01011,ARBOL 15X30CM ROJO-VERDE,ROJO-VERDE,50% MADERA 30% ESPUMA 10% PLASTICO 5% HIERRO 5% MD,36,250,6.79,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01012,SOPORTE P-GUIRNALDA 5X72CM DORA,DORADO,100%METAL,50,350,1.82,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01013,FIG PERRO-RENO 25.4CM S2 BAT-NO-INC,ROJO-VERDE,80% POLIESTER 20% PLASTICO,64,450,8.70,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01014,FIG H-JENGIBRE 45CM NAT-ROJO S2,NATURAL-ROJO,93%POLIESTER 5%ARENA 2%PLASTICO,12,250,11.06,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01015,CASA LED 27.5X28X19.5CM BAT-NO-INC,MULTICOLOR,100% POLIRESINA,4,250,29.55,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
SUP-01,"DALIAN MIRO HOLIDAYS CO., LTD.",China,Dalian,DAL-01016,FIG RENO 9X4.5X14.5CM DORADO,DORADO,100% PORCELANA,72,450,2.79,60,FOB Dalian,"30% T/T deposit, 70% T/T against B/L copy"
