supplier_id,supplier_name,country,port,sku,description,color,composition,pack_size_units,moq_units,unit_price_usd_fob,lead_time_days,incoterms,payment_terms
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02001,ORNAMENTO 14CM SURT3,ROJO-VERDE,90% POLIESTER 2%PLASTICO 8%PAPEL,144,2650,1.26,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02002,RELLENO 22X60CM NATURAL,NATURAL,60%HOJA DE MAIZ 40%METAL,48,1800,2.15,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02003,JGO 20 ESFERAS 8CM CAJA PVC,DORADO-CHAMPAGNA-PERLADO,100% PS,6,2500,5.43,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02004,RELLENO 68CM CHAMPANA,CHAMPANA,60%PP 20%ESCARCHA 10%METAL 10%PAPEL,240,2600,0.85,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02005,ORNA CASCANUECES 17CM RJ-PLA-DOR S3,ROJO-VERDE,90% PLASTICO-10% TELA,36,2600,1.81,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02006,JGO TREN LED 36PZAS 90CM BT-NOINC,ROJO-VERDE,95% ABS 5% METAL,12,2500,19.40,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02007,JUEGO 4 CASCANUECES 13CM MULTICOLOR,MULTICOLOR,82% MADERA PINO 14%MDF 4%PLASTICO,52,1500,4.36,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02008,JGO. 30 ESFERAS 6CM -CILINDRO,ROJO-VERDE-DORADO,100% PS,8,2400,3.81,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02009,ADORNO SANTA 10.1X22.5X8.5CM DRD-BL,DORADO-BLANCO,100% DOLOMITA,32,2750,3.24,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02010,RELLENO 15X60CM NATURAL,NATURAL,60%HOJA DE MAIZ 40%METAL,48,1950,1.29,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02011,CINTA 10CM X 10YDS AZUL-BLANCO,AZUL-BLANCO,70% POLIESTER 20% PLASTICO PET 10% ALAMBRE,60,2650,2.29,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02012,PICK 40CM ROJO-BLANCO,ROJO-BLANCO,90% PLASTICO PP 10% ESCARCHA,48,1700,1.57,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02013,JGO 4 ESFERAS 8CM FELPA CAJA PVC,ROJO,100% PS,48,2600,1.03,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02014,JGO4 PIEZAS P-REPOSTERIA 23CM ROJO,ROJO,60% ACERO INOXIDABLE 20% SILICON 10% PP PLASTICO 1,24,1450,3.33,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
SUP-02,QINGDAO STAR CHRISTMAS WHOLESALE GROUP,China,Qingdao,QIN-02015,ESFERA 15CM ROJO,ROJO,70%FOAM-30%PLASTICO,48,1350,1.65,75,FOB Qingdao,"30% T/T deposit, 70% L/C at sight or T/T against B/L"
