supplier_id,supplier_name,country,port,sku,description,color,composition,pack_size_units,moq_units,unit_price_usd_fob,lead_time_days,incoterms,payment_terms
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03001,ADORNO CASA 18.5CM NAT-ROJO-VERDE,NATURAL-ROJO-VERDE,75% PAPEL 5% PLASTICO 5% SISAL 5% PINA NATURAL 5% ,32,100,9.36,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03002,CORONA ADVIENTO 16PLG 140PUNTAS,VERDE,100%PVC,24,100,4.89,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03003,MAGNOLIA 10P 30X30CM NATURAL,NATURAL,90% TELA 5% METAL 5% PAPEL,240,50,1.66,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03004,ADORNO RENO 16.3X16.8X6.8CM PLATD,PLATEADO,100% DOLOMITA,24,50,5.38,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03005,MAGNOLIA 11P 29X30CM CREMA-DORADO,CREMA-DORADO,90% TELA 5% METAL 5% PAPEL,240,100,1.68,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03006,CORONA 20PLG 160PUNTAS,VERDE,100%PVC,24,50,6.29,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03007,ADORNO CASA LED 13.1CM BLANCO,BLANCO,100% CERAMICA,48,50,3.58,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03008,GUIRNALDA BAYAS 140CM VERDE-ROJO,VERDE-ROJO,50%PLASTICO 30%ESPUMA 10%ALAMBRE 10% POLIESTER,120,50,5.05,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03009,ADORNO CASA LED 18.5CM ROJO,ROJO,95% CERAMICA 5% MDF,32,50,6.33,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03010,ADORNO ARBOL 11.5X19.7X10CM PLATD,PLATEADO,100% DOLOMITA,24,50,4.85,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03011,ADORNO CASA LED 12.8CM BLANCO,BLANCO,100% CERAMICA,64,50,3.32,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03012,ADORNO RENO 16.3X17.3X8.3CM DORADO,DORADO,100% DOLOMITA,24,50,5.22,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03013,PUNTA D-ARBOL 25.5CM DORADO,DORADO,50% METAL 50% CUENTAS,6,50,8.87,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03014,ESTRELLA DECO 60CM DORADO,DORADO,70%POLIESTER 25% MARCO DE HIERRO 5% PLASTICO,50,50,9.01,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03015,MAGNOLIA 11P 23X30CM ROJO,ROJO,90% TELA 5% METAL 5% PAPEL,360,100,1.27,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03016,ADORNO CASA LED 23.5CM ROJO,ROJO,95% CERAMICA 5% MDF,18,100,8.66,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03017,CORONA 16PLG 140PUNTAS,VERDE,100%PVC,36,100,2.44,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03018,ADORNO TRONCO 25X25X20CM CHOCO,CHOCOLATE,POLIFOAM 50% PLASTICO 35% PAPEL 15%,6,100,19.76,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03019,MAGNOLIA 24X30CM 11P CREMA-DORADO,CREMA-DORADO,POLIESTER 80% PLASTICO 10% ALAMBRE 5% PAPEL 5%,240,100,1.51,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03020,COLLAR ESF DISCO LED 50CM MULTI,MULTICOLOR,50%PLASTICO 50%POLIESTIRENO,96,100,3.10,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03021,ADORNO TRONCO 20X20X18CM CHOCO,CHOCOLATE,POLIFOAM 50% PLASTICO 35% PAPEL 15%,8,50,12.23,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03022,COLLAR PARA PERROS 24X15.5CM,rojo,100% POLIESTER,72,50,1.67,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03023,ADORNO ARBOL 9.5X15.5X7.8CM PLATD,PLATEADO,100% DOLOMITA,32,100,3.57,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
SUP-03,MUMBAI ARTISAN DECOR PVT. LTD.,India,Mumbai (JNPT - Nhava Sheva),MUM-03024,ADORNO RENO LED 40CM TRANSPARENTE,TRANSPARENTE,100%ACRILICO,6,100,26.84,45,FOB Nhava Sheva,"50% advance, 50% before dispatch (T/T)"
