supplier_id,supplier_name,country,port,sku,description,color,composition,pack_size_units,moq_units,unit_price_usd_fob,lead_time_days,incoterms,payment_terms
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04001,CAMINO D-MESA 33X180CM,CREMA,100%POLIESTER,48,250,5.42,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04002,LAZO 19X24X2CM DORADO,DORADO,100% POLIESTER,96,150,0.64,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04003,VELA 8.3X9.5X9.5CM VERDE,VERDE,98%PARAFINA 2%FRAGANCIA,24,200,2.39,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04004,FALDA D-ARBOL 90CM,ROJO-VERDE,100%POLIESTER,24,250,5.95,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04005,COJIN NAV 40CM 400G BCO-RO-VER,BLANCO-ROJO-VERDE,50% POLIESTER 40% ALGODON 5% LINO 5% VISCOSA,10,150,9.40,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04006,COJIN 350G 14X20CM BEIGE-VERDE,BEIGE-VERDE,80%poliester 20%lino,12,200,6.84,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04007,LAZO 24X29X2CM CHAMPANA,CHAMPAÑA,100% POLIESTER,72,250,1.12,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04008,CAMINO D-MESA 33X176CM,ROJO,100% POLIESTER,57,250,7.50,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04009,INDIVIDUAL 48X33CM,MULTICOLOR,65% POLIESTER 35% ALGODON,144,250,0.66,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
SUP-04,HCM HOLIDAY CRAFTS LTD.,Vietnam,Ho Chi Minh City (Cat Lai),HCM-04010,COJIN PONSETIA 40CM BCO-RO-VER,BLANCO-ROJO-VERDE,80%POLIESTER 20%LINO,12,200,7.21,50,FOB Ho Chi Minh City,"30% T/T deposit, 70% T/T 30 days from B/L"
