id,nombre,grupo_id
6272,CHICO,1925
6274,GRANDE,1925
7360,ALFAJORES,2259
6261,VARIOS,1921
6262,BANDEJAS,1922
6264,PLATOS,1922
6267,VASOS Y COPAS,1922
6270,MEDIANO,1924
6273,MEDIANO,1925
6278,CINTAS,1927
6293,PAÑO DE COCINA,1933
6295,POSA VASOS,1933
6319,SERVILLETEROS,1922
7335,PORTAVELA,1934
7364,GIFT CARD,2260
6256,P/ ARBOL,1919
6258,CHICO,1920
6282,GUIRNALDAS,1929
6284,TRENES,1930
7370,RAMA,2262
7373,FLORES,2264
6257,VARIOS,1919
6260,GRANDE,1920
6266,TAZAS,1922
6276,MEDIANO,1926
6286,PELUCHES,1930
6289,ALMOHADAS/COJINES,1933
6296,SERVILLETAS,1933
7333,COLGANTE,1919
7358,PAN DULCE,2259
7365,SERVILLETAS,1922
7372,CORONAS,2265
6265,PORTAPLATOS,1922
6268,BAZAR,1923
6285,LUCES,1931
6287,MUÑECOS,1930
6298,VELAS,1934
7339,CAMPANA,1919
7340,CASCANUECES,1919
7362,CHOCOLATES,2259
7366,MOCHILAS,1933
6253,ESFERAS,1919
6259,MEDIANO,1920
6288,PESEBRE,1932
6290,CAMINEROS,1933
6439,ALFOMBRAS,1933
6263,CUBIERTOS,1922
6269,CHICO,1924
6271,GRANDE,1924
6275,CHICO,1926
6277,GRANDE,1926
6280,OTROS,1928
6292,MANTELES,1933
7359,TURRONES,2259
7361,GALLETITAS,2259
7374,TOALLA,1933
6255,FIGURAS,1919
6281,VINCHAS,1928
6291,INDIVIDUALES,1933
6294,POSA PLATOS,1933
7337,ACCESORIO DE VINO,1922
7338,VAJILLA,1922
7363,CARAMELOS,2259
7371,PLANTAS,2263
