sku,fecha_ultima_venta,precio_venta_actual
107966,2026-02-12,22000.0
118240,2025-12-29,180000.0
135165,2025-11-06,135000.0
135386,2024-12-14,58000.0
135539,2025-11-11,74000.0
136343,2024-11-20,99000.0
136617,2024-12-26,140000.0
139160,2024-12-27,21000.0
140058,2024-12-09,19000.0
140204,2025-12-11,81000.0
141734,2024-11-15,69000.0
142948,2024-09-13,102500.0
160360,2024-11-17,65000.0
160424,2024-12-01,35000.0
160427,2024-12-02,30000.0
160430,2025-12-18,15000.0
160431,2024-12-13,15000.0
160578,2025-12-14,29000.0
160625,2024-11-07,29000.0
160629,2024-12-26,32000.0
160710,2024-11-26,79000.0
160716,2024-12-19,20000.0
160725,2024-12-12,45000.0
160734,2025-12-19,55000.0
160811,2024-12-19,20000.0
160829,2024-11-29,45000.0
160830,2024-12-07,35000.0
160852,2025-12-31,25000.0
160853,2024-11-27,35000.0
160854,2025-11-29,29000.0
161343,2024-12-31,35000.0
161469,2024-10-12,65000.0
161633,2025-12-18,965000.0
161682,2024-11-27,19000.0
162139,2024-11-07,65000.0
162205,2024-12-07,99000.0
162207,2025-12-17,999000.0
162214,2025-12-17,85000.0
162220,2025-12-21,29000.0
162225,2024-11-06,35000.0
162301,2024-12-23,25000.0
162313,2025-11-29,19000.0
162359,2025-12-07,12000.0
162399,2024-11-16,35000.0
162401,2024-11-02,40000.0
162510,2025-12-21,29000.0
162530,2025-12-31,29000.0
162637,2026-03-10,20000.0
162711,2024-08-03,70000.0
162745,2024-12-08,35000.0
162813,2025-11-10,395000.0
163348,2024-12-11,8000.0
163358,2025-12-20,20000.0
163361,2025-12-20,20000.0
163459,2024-11-13,20000.0
163468,2024-11-03,85000.0
163472,2024-11-17,100000.0
163479,2024-11-03,10000.0
163499,2025-11-22,105000.0
163517,2025-12-16,8000.0
163521,2025-12-07,25000.0
163540,2025-12-18,39000.0
163563,2024-11-08,83000.0
163570,2025-12-22,50000.0
163587,2024-12-11,97000.0
163607,2024-12-21,35000.0
163608,2024-12-01,29000.0
163645,2024-10-26,115000.0
163662,2024-12-07,40000.0
163675,2025-12-22,42000.0
163891,2024-12-01,65000.0
166438,2026-02-14,27000.0
166445,2025-12-16,55000.0
171285,2025-01-08,5000.0
17629,2025-07-25,2500.0
186598,2025-11-09,1095000.0
186622,2025-12-31,29000.0
186636,2024-11-06,39000.0
186638,2024-12-19,29000.0
186640,2024-12-08,22000.0
186652,2024-11-07,49000.0
186667,2024-10-13,75000.0
186669,2024-12-12,35000.0
186670,2025-12-21,42000.0
186683,2024-12-01,50000.0
186739,2024-11-07,12000.0
186808,2025-08-19,190000.0
186813,2024-05-27,22000.0
186822,2024-11-16,25000.0
186844,2025-01-17,75000.0
186852,2024-06-03,175000.0
186925,2024-11-09,79000.0
186930,2024-01-24,20000.0
186931,2025-12-16,45000.0
187009,2024-12-29,85000.0
187010,2025-11-30,120000.0
187023,2025-12-20,45000.0
187033,2025-02-25,119000.0
187716,2024-11-14,95000.0
187724,2024-11-02,69000.0
187734,2025-12-01,12000.0
187759,2025-12-29,25000.0
187762,2024-11-10,79000.0
187771,2024-11-07,162000.0
187804,2024-11-10,89000.0
187805,2024-11-14,225000.0
187807,2024-11-05,350000.0
187823,2024-11-07,195000.0
187833,2024-11-29,99000.0
190321,2024-02-24,55000.0
190542,2024-12-27,120000.0
190543,2024-11-09,99000.0
191350,2025-03-14,35000.0
191363,2024-12-09,46500.0
191569,2024-12-20,35000.0
191645,2025-09-27,75000.0
191718,2025-12-21,25000.0
191726,2024-12-21,59000.0
191733,2024-10-07,25000.0
191737,2024-11-06,32000.0
191796,2025-02-12,25000.0
191804,2024-02-05,19000.0
191908,2025-12-30,39000.0
192211,2025-11-29,220000.0
192364,2024-12-18,39900.0
192376,2024-12-01,16000.0
192377,2024-11-26,16000.0
192741,2024-12-01,35000.0
192758,2024-12-03,22000.0
192803,2024-11-21,105000.0
192946,2026-03-20,225500.0
192948,2026-01-04,46000.0
194052,2025-12-23,89000.0
194056,2025-12-20,45000.0
194413,2025-11-08,225000.0
194415,2024-11-07,839000.0
196068,2024-12-30,5000.0
203484,2025-12-28,82000.0
206249,2025-12-05,3500000.0
206257,2025-11-25,89000.0
206273,2025-11-05,990000.0
206319,2025-11-04,115000.0
213722,2025-12-21,79000.0
213723,2025-12-31,75000.0
213747,2024-12-24,191000.0
214651,2024-12-14,145000.0
214984,2024-12-13,185000.0
215044,2025-11-21,125000.0
215054,2025-11-20,75000.0
215081,2024-12-12,40000.0
215197,2024-12-28,45000.0
215214,2024-12-23,105000.0
215234,2025-12-12,59900.0
215236,2025-12-11,99000.0
215245,2024-12-08,62000.0
215249,2025-12-23,55000.0
215252,2024-12-22,60000.0
215259,2024-12-22,69000.0
215281,2024-12-24,30000.0
215291,2024-11-21,135000.0
215297,2024-12-01,195000.0
215313,2024-12-31,115000.0
215317,2025-12-17,55000.0
215327,2025-12-04,76000.0
215333,2024-12-27,89900.0
215385,2025-11-06,89900.0
215392,2025-11-18,240000.0
215395,2024-12-06,470000.0
215423,2025-12-24,55000.0
215428,2025-11-24,105000.0
215435,2024-12-07,15000.0
215440,2024-12-16,29000.0
215447,2025-12-31,25000.0
215450,2025-11-08,145000.0
215457,2025-11-11,50000.0
215461,2025-11-16,125000.0
215465,2025-11-23,99000.0
215499,2025-12-21,25000.0
215509,2025-11-09,89900.0
