sku,codigo_barras,nombre,nombre_corto,unidad,pais_origen,precio_costo,fecha_ultima_compra,fecha_ultima_actualizacion,fecha_alta,categoria_id,cantidad_stock,perecedero
247329,247329,ESFERA DECOR 10X10X10CM 180-3300968,Esfera Decorativa,Unid,Panamá,14687.0,,,2025-08-28 14:20:41.923,6253,55.0,false
215773,215773,BOLA D/AGUA 200-7600181,Esfera Decorativa,Unid,Panamá,18548.0,,,2024-07-29 14:33:23.490,6253,0.0,false
246244,246244,TAZA DE 400ML JSR-DEC-24-107,TAZA DE 400ML,Unid,China,16568.0,,,2025-08-22 19:44:49.140,6266,3.0,false
197489,197489,CARTA PARA SANTA,CARTA PARA SANTA,Unid,Paraguay,36363.6364,,,2023-12-13 10:01:16.393,6281,2.0,false
246879,246879,CASA DECOR C/LUZ A/BAT3 8.8X7.8X10CM 202-5100014,CASA DECOR C/LUZ A/B,Unid,Panamá,19151.0,,,2025-08-27 10:37:26.793,6257,3.0,false
247244,247244,RAMA DECOR 140-2501544,Rama Decorativa Roja,Unid,Panamá,15023.0,,,2025-08-28 13:45:15.270,7370,1.0,false
250456,250456,RELLENO 9P 71CM DORADO 831-AMX044- 25147,Relleno Dorado 71cm,Unid,China,10257.0,,,2025-09-24 11:33:40.010,7370,182.0,false
254542,254542,SET BOLA NAVIDEÑA 10CM CHAMPAGNE NB2519-6332,SET BOLA NAVIDEÑA 10,Unid,Panamá,15054.0,,,2025-10-23 15:54:14.537,6253,11.0,false
213761,213761,TAZA DE TE C/PLATILLO SOLDADOS 1255-104F,TAZA TE C/PLATILLO,Unid,Brasil,39592.0,,,2024-06-27 13:50:47.817,6266,0.0,false
248462,248462,ARBOL NIEVE C/LUZ A/BAT2 9.5X9.5X17CM 201-9700160B,Árbol Nieve Luminoso,Unid,Panamá,73665.0,,,2025-09-12 09:14:22.897,6257,2.0,false
256027,256027,Llavero Navidad F,Llavero Navidad F,Unid,Paraguay,13636.3649,,,2025-11-19 09:13:37.557,6280,2.0,false
245984,245984,SANTA DECOR PIE GRANDE 22X10X64CM 150-8101101,Santa Decorativo,Unid,Panamá,64292.0,,,2025-08-21 15:53:46.940,6286,0.0,false
248392,248392,BANDEJA DISEÑO PASTILLA MENTA 201-5400094,BANDEJA DISEÑO PASTI,Unid,Panamá,67647.0,,,2025-09-11 14:10:50.927,6262,0.0,false
