sku,proveedor_id,ultima_fecha_compra,ultimo_precio_pyg,ultima_cantidad,total_cantidad_historica,total_lineas_compra
215907,364,2024-10-18,0.63,288.0,288.0,1
217491,364,2025-08-29,16.03,20.0,40.0,2
248330,364,2025-09-19,3.13,96.0,96.0,1
248039,3659,2025-10-24,3.05,45.0,45.0,1
247309,364,2025-08-29,1.42,100.0,100.0,1
248159,3659,2025-10-30,2.79,72.0,72.0,1
142552,2613,2024-12-09,6136.36364,24.0,24.0,1
78360,1362,2024-12-03,909090.90909,1.0,1.0,1
236309,1654,2025-07-14,1.84,36.0,36.0,1
248141,3659,2025-10-30,2.41,96.0,96.0,1
248019,3659,2025-10-24,1.75,144.0,144.0,1
246331,1654,2025-08-22,0.67,100.0,100.0,1
257100,3712,2025-12-06,57272.72727,20.0,20.0,1
257543,2127,2025-12-17,100454.54545,5.0,5.0,1
215919,364,2025-11-24,12.93,4.0,8.0,2
246330,1654,2025-08-22,0.62,100.0,100.0,1
217145,1393,2024-10-14,1.11,150.0,150.0,1
247157,364,2025-08-29,44.27,4.0,4.0,1
250299,1393,2025-09-26,3.06,54.0,54.0,1
217435,364,2024-10-18,17.51,6.0,6.0,1
247523,3960,2025-09-22,29.78,18.0,18.0,1
256007,4110,2025-12-01,100000.0,2.0,2.0,1
248525,364,2025-09-19,3.52,54.0,54.0,1
246873,364,2025-09-08,1.99,96.0,96.0,1
248358,364,2025-09-19,11.43,4.0,4.0,1
247267,364,2025-08-29,2.68,48.0,48.0,1
248082,3659,2025-10-24,1.61,144.0,144.0,1
215555,364,2024-11-07,9.32,12.0,12.0,1
220545,3069,2024-12-21,13636.36364,12.0,142.0,7
217544,364,2024-10-18,6.59,8.0,8.0,1
79011,1362,2025-11-26,109090.90909,5.0,10.0,2
215012,364,2024-10-18,4.18,72.0,72.0,1
192859,1393,2024-10-14,9.5,18.0,18.0,1
215522,364,2024-10-01,16.92,6.0,6.0,1
215010,364,2024-10-18,15.13,20.0,20.0,1
214654,364,2025-08-29,3.34,144.0,288.0,2
254075,1926,2025-11-24,8.47,8.0,8.0,1
117083,1362,2024-10-04,268636.36364,4.0,4.0,1
247081,364,2025-08-29,2.54,96.0,96.0,1
222315,1362,2024-11-05,329090.90909,2.0,2.0,1
218590,1393,2024-11-07,14.12,12.0,12.0,1
247302,364,2025-08-29,1.1,144.0,144.0,1
221871,1362,2024-10-30,1800000.0,2.0,2.0,1
234025,1654,2025-07-14,3.73,24.0,24.0,1
248167,3659,2025-10-30,4.31,128.0,128.0,1
254784,3069,2025-12-17,127272.72727,1.0,26.0,7
217072,1393,2024-10-14,2.0,240.0,240.0,1
247198,364,2025-08-29,1.0,192.0,192.0,1
205740,941,2025-11-11,10909.09091,12.0,22.0,2
250330,1393,2025-09-26,0.32,480.0,480.0,1
215808,364,2024-10-18,2.78,48.0,48.0,1
215871,364,2024-10-18,2.96,48.0,48.0,1
246273,1654,2025-08-22,0.22,100.0,100.0,1
217498,364,2024-10-18,10.29,12.0,12.0,1
217506,364,2024-10-18,8.32,12.0,12.0,1
250354,1393,2025-09-26,0.76,360.0,360.0,1
254292,3659,2025-10-22,1.56,250.0,250.0,1
247275,364,2025-08-29,4.2,48.0,48.0,1
245957,364,2025-09-08,2.01,96.0,96.0,1
250381,1393,2025-09-26,3.37,120.0,120.0,1
254786,1926,2025-11-24,8.76,24.0,24.0,1
254714,1926,2025-11-24,1.04,360.0,360.0,1
217432,364,2024-10-18,16.08,6.0,6.0,1
217040,1393,2024-10-14,0.71,240.0,240.0,1
245837,364,2025-09-08,18.74,12.0,12.0,1
217330,364,2024-10-18,1.68,120.0,120.0,1
248519,364,2025-09-19,6.93,24.0,24.0,1
217294,1393,2024-10-14,1.33,48.0,48.0,1
254282,3659,2025-10-22,2.66,20.0,20.0,1
206875,364,2024-10-01,6.96,16.0,20.0,2
247025,364,2025-08-29,3.13,72.0,72.0,1
247375,364,2025-08-29,4.66,12.0,12.0,1
215540,364,2024-10-01,12.22,8.0,8.0,1
217351,364,2024-10-18,11.27,18.0,18.0,1
247372,364,2025-08-29,12.47,16.0,16.0,1
215016,364,2024-10-18,11.79,18.0,18.0,1
217226,1393,2024-10-14,2.59,36.0,36.0,1
217243,1393,2024-10-14,3.68,48.0,48.0,1
219893,364,2024-11-07,4.6,32.0,32.0,1
220922,1074,2024-11-07,9545.45455,36.0,68.0,2
247213,364,2025-08-29,1.63,144.0,144.0,1
254641,1926,2025-11-24,3.89,24.0,24.0,1
247343,364,2025-08-29,0.53,288.0,288.0,1
247050,364,2025-08-29,4.65,72.0,72.0,1
215203,364,2024-11-07,0.41,144.0,144.0,1
215431,364,2024-10-18,3.32,48.0,48.0,1
256011,4110,2025-12-01,15454.54545,12.0,12.0,1
247042,364,2025-08-29,4.86,36.0,36.0,1
222377,3544,2024-11-08,54545.45455,3.0,3.0,1
248031,3659,2025-10-24,3.48,108.0,108.0,1
254722,29,2025-12-20,2833.52212,1.0,11.0,2
248033,3659,2025-10-24,1.27,360.0,360.0,1
62921,370,2025-10-10,48654.54545,120.0,240.0,2
247369,364,2025-08-29,1.21,24.0,24.0,1
248079,3659,2025-10-24,4.75,18.0,18.0,1
219905,364,2024-11-07,2.33,48.0,48.0,1
218662,364,2024-11-07,4.55,18.0,18.0,1
214788,364,2024-10-01,1.65,40.0,40.0,1
76705,1393,2025-09-26,1.71,72.0,72.0,1
246025,364,2025-09-08,3.72,48.0,48.0,1
250327,1393,2025-09-26,0.97,240.0,240.0,1
247540,3960,2025-09-22,6.99,36.0,36.0,1
254279,3659,2025-10-22,2.01,40.0,40.0,1
206356,1654,2025-07-14,1.36,48.0,96.0,2
245832,364,2025-09-08,1.22,96.0,96.0,1
248494,364,2025-09-19,1.48,72.0,72.0,1
246440,1654,2025-08-22,6.88,24.0,24.0,1
256052,2502,2025-11-21,71272.72727,2.0,2.0,1
245911,364,2025-09-08,1.21,192.0,192.0,1
215444,364,2024-10-18,1.43,134.0,134.0,1
248424,364,2025-09-19,10.69,18.0,18.0,1
144850,941,2024-11-15,1818.18182,435.0,735.0,2
250437,1393,2025-09-26,0.94,288.0,288.0,1
247040,364,2025-08-29,3.97,48.0,48.0,1
247520,3960,2025-09-22,2.77,48.0,48.0,1
247318,364,2025-08-29,2.32,144.0,144.0,1
166442,2798,2025-12-11,38181.81818,7.0,29.0,5
250373,1393,2025-09-26,0.74,240.0,240.0,1
217154,1393,2025-09-26,9.41,10.0,20.0,2
62925,370,2025-10-10,71200.0,72.0,144.0,2
247354,364,2025-08-29,7.5,24.0,24.0,1
217257,364,2024-10-18,0.79,576.0,576.0,1
219882,364,2024-11-07,15.59,6.0,6.0,1
216870,364,2024-10-18,1.76,108.0,108.0,1
250347,1393,2025-09-26,0.74,240.0,240.0,1
245927,364,2025-09-08,6.85,36.0,36.0,1
217418,364,2024-10-18,2.94,48.0,48.0,1
114243,364,2025-11-24,0.31,192.0,384.0,2
217138,1393,2024-10-14,6.64,18.0,18.0,1
246294,1654,2025-08-22,0.46,100.0,100.0,1
219818,364,2024-11-07,6.31,6.0,6.0,1
245943,364,2025-09-08,1.13,192.0,192.0,1
217553,364,2024-10-18,8.88,24.0,24.0,1
194148,941,2024-10-21,18181.81818,24.0,24.0,1
217448,364,2024-10-18,3.81,12.0,12.0,1
250484,1393,2025-09-26,0.78,72.0,72.0,1
247089,364,2025-08-29,2.37,48.0,48.0,1
221232,941,2025-11-11,4545.45455,12.0,30.0,2
215879,364,2024-10-18,1.88,36.0,36.0,1
246502,1654,2025-08-22,1.12,50.0,50.0,1
257353,639,2025-12-09,34863.63636,6.0,6.0,1
220253,1654,2025-07-14,5.4,48.0,48.0,1
217275,1393,2024-10-14,4.03,12.0,12.0,1
246260,1654,2025-08-22,0.98,50.0,50.0,1
248475,364,2025-09-19,6.31,12.0,12.0,1
217061,1393,2024-10-14,1.38,200.0,200.0,1
253995,364,2025-11-24,4.79,18.0,18.0,1
247147,364,2025-08-29,4.3,48.0,48.0,1
247408,364,2025-08-29,6.23,12.0,12.0,1
