sku;anio;semana;unidades_vendidas;importe_total_pyg
107966;2026;4;6;120000
107966;2026;5;8;160000
107966;2026;7;8;160000
112625;2024;1;5;115909
112625;2024;3;3;69545
112625;2024;4;4;92727
112625;2024;5;4;92727
112625;2024;6;4;92727
112625;2024;7;1;23181
112625;2024;8;3;69545
112625;2024;9;4;92727
112625;2024;10;5;115909
112625;2024;11;2;46363
112625;2024;13;5;115909
112625;2024;15;3;69545
112625;2024;16;3;69545
112625;2024;17;5;115909
112625;2024;18;4;92727
112625;2024;19;4;86931
112625;2024;20;4;92727
112625;2024;21;1;23181
112625;2024;24;8;180590
112625;2024;26;1;26363
112625;2024;28;1;26363
112625;2024;30;9;237272
112625;2024;31;14;369090
112625;2024;32;1;26363
112625;2024;33;5;131818
112625;2024;34;3;73818
112625;2024;35;3;79090
112625;2024;36;2;52727
112625;2024;37;2;52727
112625;2024;38;9;237272
112625;2024;39;3;79090
112625;2024;40;6;158181
112625;2024;41;4;105454
112625;2024;42;1;26363
112625;2024;43;1;26363
112625;2024;44;3;79090
112625;2024;45;2;52727
112625;2024;46;9;237272
112625;2024;47;9;237272
112625;2024;48;17;448182
112625;2024;49;6;158181
112625;2024;50;18;374363
112625;2024;51;17;448181
112625;2025;1;2;58181
112625;2025;4;3;79090
112625;2025;5;1;26363
112625;2025;7;15;353272
112625;2025;9;4;105454
112625;2025;10;3;79090
112625;2025;11;3;79090
112625;2025;12;1;26363
112625;2025;15;1;26363
112625;2025;16;2;52727
112625;2025;18;11;264545
112625;2025;19;6;145000
112625;2025;20;8;179272
112625;2025;22;1;26363
112625;2025;27;4;116363
112625;2025;28;5;139636
112625;2025;29;5;145454
112625;2025;30;6;174545
112625;2025;31;24;698181
112625;2025;32;3;87272
112625;2025;33;6;174545
112625;2025;34;6;174545
112625;2025;35;6;174545
112625;2025;36;2;58181
112625;2025;37;5;145454
112625;2025;38;3;87272
112625;2025;39;1;29090
112625;2025;40;5;145454
112625;2025;41;1;29090
112625;2025;42;1;29090
112625;2025;43;2;58181
112625;2025;44;7;203636
112625;2025;45;4;110545
112625;2025;46;10;273454
112625;2025;47;13;378181
112625;2025;48;5;145454
112625;2025;49;8;232727
112625;2025;50;7;174545
112625;2025;51;15;436363
112625;2025;52;13;378181
112625;2026;1;2;58181
112625;2026;2;5;145454
112625;2026;3;1;29091
112625;2026;5;7;203636
112625;2026;6;2;58181
112625;2026;7;2;58181
112625;2026;8;1;29090
112625;2026;10;1;29090
112625;2026;11;2;58181
112625;2026;12;4;116363
112625;2026;13;1;29090
112625;2026;16;1;29090
112625;2026;17;8;232727
112625;2026;18;2;58181
113982;2024;1;1;47272
113982;2024;46;1;59090
113982;2024;47;11;650000
113982;2024;48;31;1820000
